,korean,english
6210,나는 지금 컴퓨터가 고장나서 고치고 있어.,I am fixing my own computer because it has a problem.
6211,은행카드로 내가 살고 있는 곳에서 찾는건가?,Do I get it with a bankcard at the place where I live?
6212,나는 이 공장 일이 끝나면 여행을 할꺼야.,I will travel after finishing this factory work.
6213,어제 런지를 하고 나서 다리를 움직이는 게 힘들어요.,It's hard to move my legs after I did the lunge yesterday.
6214,그 새 우주 영화에는 엄청난 특수 효과가 쓰였어요.,That new space movie has great special effects.
6215,내가 울고 있을 때 너는 자고 있었어.,"When I was crying, you were sleeping."
6216,그리고 저희 측에서도 수수료가 부과되는 거 알고 계시죠?,"And you know we charged a fee, right?"
6217,이번 팀 프로젝트에서 발표를 맡고 싶으신 분?,Who wants to present for this team project?
6218,"글쎄, 그것을 네 자신의 일이라고 생각하고, 밤샘을 할 계획을 세워봐요.","Well, think of it as your job, and plan to stay up all night."
6219,저는 어렸을 때 당신이 약한 모습을 상상할 수가 없어요.,I can hardly imagine you were weak as a child.
6220,세탁기를 사용하면 하루종일 멈춰 있어요.,If we use washing machine it stops all day.
6221,언제 시스템이 완성될 것으로 예상하십니까?,When do you expect the system to be finished?
6222,다음에 수영장 이용 시 수영 모자 착용해 주세요.,Wear the swimming cap next time you use the swimming pool.
6223,믿음을 기반으로 한 관계는 쉽게 깨지지 않아.,The relationship based on trust is not easily broken.
6224,우리는 업체에 따로 계약서를 받을 예정이예요.,We plan to receive the contract from a enterprise seperatelly.
6225,고객님의 셔츠는 교환 가능합니다만 무슨 문제라도 있으세요?,"Your shirt can be returned, but what is the problem?"
6226,하긴 저 심판은 기준이 이상한 것으로 유명하더라.,"Well, that umpire is famous for his strange standards."
6227,나는 수업 중이라 음성 메세지를 들을 수 없어.,I can't listen to the voice message because I'm in the class.
6228,제주도 감귤이랑 초컬릿 선물로 준비했어요.,I prepared jeju island tangerine and chocolate for you.
6229,저는 기능경기대회를 통해 보전이란 업무에 첫발을 내딛었어요.,I started my career in conservation through skill contests.
6230,"감사합니다만, 전 핸드폰이 없어요.","Thanks, but I don't have a cellphone."
6231,나는 내일 친구가 내가 준 선물을 받고 기뻐했으면 좋겠어.,I hope my friend feel happy with my gift tomorrow.
6232,나는 너가 항상 꿈을 향해 나아가기를 소망해요.,I hope that you will always head for your dream.
6233,저번에 보니까 외국에서 코치인가 하고 있던데.,"Last time I saw, he was working as a coach in a foreign country."
6234,내 허접한 영어 실력을 칭찬해줘서 고마워.,Thank you for complementing my bad English.
6235,당신의 확인을 위해 계약서 첨부해요.,I will attach a contract file for your confirmation.
6236,나도 나 자신을 못 믿어서 몇 번을 확인했는데.,"I didn't trust myself, so I checked a few times."
6237,"재료는 야채와 돼지고기, 두부가 들어가요.","The ingredients are vegetables, pork and tofu."
6238,또한 전면에 붙어있는 큰 거울이 매우 실용적이예요.,"Also, the big mirror attached in front is very practical."
6239,나의 남동생이 이 글을 보면 좋겠어.,I hope my younger brother to see this writing.
6240,제가 자주 쓰는 파운데이션이 없어진다는 소식을 들었어요. 남아있는 제품이 있나요?,I heard the news that the foundation that I use often will be discontinued. Are they any products left?
6241,이것은 한국을 대표하는 공예품이에요.,This is the most famous craft in Korea.
6242,남자는 자신의 모습을 여자에게 경고했지만 그녀는 놀라지 않았어.,"The man warned her of his figure, but she wasn't surprised."
6243,내가 가장 좋아하는 한국만의 특색이에요.,It's the characteristics of Korea that I like the most.
6244,그런 다음 우리는 게시판에 메모를 붙였어요.,"And after that, we put a memo on the board."
6245,제 주제는 여신웨이브 연출하기 이예요.,My subject is presenting hair wave like goddess.
6246,어린이를 위한 간이 침대 주세요.,Give me a temporary bed for children.
6247,이태리 레스토랑 밸리 노에서 맛볼 수 있는데.,It can be tasted at Valley Noh the Italian restaurant.
6248,여성 속옷은 세 가지 사이즈로 판매하고 있어요. ,We have 3 sizes for women's underwear.
6249,그러나 사랑하는 당신 때문에 행복해요.,But I'm happy because of you whom I love.
6250,사회적으로 옳고 그른 것이 무엇인지를 나누기도 해요.,It also determines what is right and wrong among the society.
6251,하지만 당신이 보내 준 글귀가 위안이 돼요.,But the writing you sent me makes me relaxed.
6252,현재에 행복하지 않으면 미래에도 행복할 수 없어.,"If you are not happy now, then you will not happy in future."
6253,당신은 지니톡을 사용하여 정확한 뜻을 말하지 않아.,You don't mention an exact meaning using the Genietalk.
6254,나는 죽기 전까지 번역 일하고 싶어.,I want to work as interpreter until I die.
6255,컷트비용은 파마하게되면 따로 지불하지 않아도 돼.,Cutting cost is not required if you have your hair permed.
6256,나는 항상 웃으면서 음식을 나눠 먹고 싶어요.,I always want to share food with a smiling face.
6257,중국에서 행복의 행자 또한 행운의 의미가 있어.,The first letter of the word means luck.
6258,멋진 수영장을 즐기기엔 시간이 부족해요.,There's not enough time to enjoy this awesome pool.
6259,"어머, 아니에요, 저녁을 너무 잘 먹었어요.","Oh, no, we've had a very good dinner."
6260,녹색 카펫이 거실에 깔려 있었어요.,A green carpet was laid in the living room.
6261,그것은 각각이 하나의 과제이에요.,They are each an independent task.
6262,저희 매장에는 유통기한이 지난 물품은 판매하고 있지 않습니다.,This store does not sell products past their expiration dates.
6263,우리가 인연이 된다면 또 만나요.,Let us meet again if fate allows it.
6264,지금다시또 대화내용이 원점으로 돌아가고있어.,The conversation is going back to square one.
6265,인기를 유지하기 위한 방법일 수도 있어.,It can be one way of maintaining popularity.
6266,그래도 당신을 생각하면 금방 지나가겠죠.,But it will soon pass when I think of you.
6267,"알고 있고, 호텔과 비행기 표들은 제가 이미 예약해두었습니다. ","I'm aware of it, and I've already reserved the hotel and flight tickets. "
6268,그리고 내 주변사람들이 행복해 할 때 기분이 좋아.,I am also happy when those around me are happy.
6269,그러면 2통 추가로 주세요. 방으로 가져다주시나요? ,Then please give us 2 more. Do you bring them to the room?
6270,앱 잠금 기능을 사용 하려면 권한을 허용하세요.,Please allow the access to use the app lock function.
6271,미국과 일본은 서로 긴밀한 유대가 있어요.,The U.S. and Japan have close ties with each other.
6272,나는 어제 이미 나의 물건을 수령했어요.,I have already received my item yesterday.
6273,오늘 보내는 사진으로 교체 부탁해.,Please change the picture which I am sending today.
6274,어제 회의를 진행한 장소는 너무 협소한 것 같습니다.,I think the place where the meeting was held yesterday was too small.
6275,방금 콘서트는 정말 재밌었어! 다음 일정은 뭐야? ,The concert was just amazing! What's our next plan?
6276,배드민턴의 공의 명칭은 셔틀콕 이예요.,The name of the ball in badmonton is called shuttlecock.
6277,회사 안에 직원들을 위한 수영장이 있는 것은 처음 봅니다.,I've never seen a company with a pool for the employees before.
6278,이것은 당신의 역무이며 우리는 당신의 일을 도와주고 있어요.,"This is your labor, and we are helping your work."
6279,압출기의 구조는 다음 그림과 같아.,The structure of an extruder is shown in the following slide.
6280,이젠 학교 와서 친구 들이랑 얘기하는 일 밖에 없어.,The only thing I do in the school is to talk with my friends.
6281,당신의 선택한 지금의 믿는 지금의 삶이 행복이니까요!,Present life you chose and belive now is the happiness!
6282,이것이 정확하다면 인보이스를 보내 주십시오.,"If this is correct, please send us the invoice."
6283,필리핀에 있을 때 우리를 가이드해 줘서 고마워.,Thank you for your guidance when we were in the Philippines.
6284,건물 남쪽 엘리베이터를 타고 9층에 내리셔서 오른쪽으로 가면 됩니다.,"Take the elevator to the south of the building and get off on the 9th floor, then take the right turn."
6285,누구 저와 친구가 되어 주실래요?,Is there anyone who likes to be my friends?
6286,군대에서 일하고 내가 좋아하는 일이기 때문이예요.,Because I work in the army and it is a job I like.
6287,그리고 따뜻한 마음으로 엄마처럼 승객을 돌볼 것이에요.,And I will take care of my customers with warm heart.
6288,한 여행사에서 일하고 있는 직원이 있어.,There is an employee who is working in a travel agency.
6289,너 솔직하게 말해. 도착까지 지하철 몇 정거장 남았니?,Be frank with me. How many stops do you have left until your arrival?
6290,이번 기조 연설은 누가 하는지 알고 있나요?,Do you know who gives the keynote address this time?
6291,난 일주일중 화요일이 제일 바쁜날이야.,Tuesday is the busiest day of the week for me.
6292,직원은 아니지만 책임감 있게 일할 것이예요.,"Even I'm not an employee, I will work with responsibility."
6293,여행자 지도를 찾고 있는데 혹시 여기서 받을 수 있나요?,I'm looking for a traveler's map and can I get one here?
6294,지원자께서 기존 직급에서는 연봉이 얼마셨나요?,How much did he get for his annual salary at his original position?
6295,제가 여권을 분실했는데 어떻게 해야 하나요?,What do I have to do if I lost my passport?
6296,말은 잘 통하지 않지만 내가 힘이 되어 주고 싶어.,I'd like to help you in spite of the language barrier.
6297,오늘은 아주 가벼운 스트레칭부터 시작해볼 거예요.,We will start from a very light stretch today.
6298,주말에 오랜만에 친구들을 만났어.,I met with my friends on a weekend after a long time.
6299,"배우들은 예능에 잘 나오지 않는 편인데, 아마도 예능이 자기한테 잘 맞았나 봐. ","Actors tend to refrain from variety shows, but I guess they suited him well."
6300,우리나라의 항구 도시를 많이 알릴 수 있어.,We can advertise harbor cities of Korea.
6301,너라면 나보다 좋을 사람을 금방 만날 수 있을 거야.,I'm sure you'll find a much better person than I am.
6302,나는 약간 외국인 앞에 가면 말을 못해요.,I can't talk anything in front of foreigners.
6303,라디오에 건전지를 포함한 가격입니까?,Do batteries come with the radio?
6304,슈페리어 룸으로 부탁합니다. 금연 객실로요.,"Then I want a superior room. Non-smoking room, please."
6305,보내주신 엑셀 파일이 열리지가 않습니다. 확인해 주세요.,I can't open the Excel file you sent. Please check it.
6306,너희들 각자 한국에 도착시간이 언제야?,"What are your arrival time in Korea, respectively?"
6307,기숙사 와이파이가 또 말썽이네. ,The wireless Internet in the dorm is broken again.
6308,너에게 간단한 부탁을 하고 싶어요.,I would like to make a small request to you.
6309,세상이 내가 제대로 여행가는 꼴을 못 보는 걸 어떠하냐?,What can I do when the world can't bear to see me travel according to plan?
6310,나는 결제 영수증을 받지 못했어요.,I didn’t get a receipt of the payment.
6311,자동으로 기간이 끝나면 알림 후에 반납이 됩니다.,It will get returned automatically with a notification after the period is over. 
6312,민수 씨는 왜 학생 식당 음식을 좋아합니까?,Why does Minsu like foods in the student restaurant?
6313,우리의 시스템을 보신 느낌이 어떻습니까?,What do you think about our system?
6314,오래도록 손길이 닿을 옷을 만들어요.,We make clothes that can be worn for a long period of time.
6315,"현재는 2020년 하반기가 될 것이라고, 예상하지만 정해지진 않았습니다.","It is expected to be the second half of 2020 for now, but it has not been decided.        "
6316,방 에어컨 조절은 어떻게 하나요?,How can I control the air conditioner?
6317,제가 담당하는 것이 아니라서요. 아마 과에서 설문조사 후 진행할 예정입니다.,I'm not in charge of that. I think it will be done by the department after receiving all the surveys.
6318,네. 여기로 쭉 가시면 수화물 레일이 나옵니다. 거기서 찾으실 수 있어요.,"Yes. If you go straight, you will see the luggage rail. You can claim your luggage there."
6319,"단, 디자인 좀 제발 이쁘게 꾸며라.","But, please put more attention on design."
6320,테두리 부분에 스티커를 핀셋을 이용해 제거해요.,Use a tweezers to remove the sticker on the rim.
6321,"네, 감사합니다. 혹시 추가로 질문 드릴것 있으면 이메일로 드리겠습니다.",Thank you. I will e-mail you if I have any further questions.
6322,"비가 내리기 시작해서, 빨래를 빨리 내렸어요.","As it started to rain, I took in the laundry quickly."
6323,아래 안내주신 세션에는 참석하도록 하겠어요.,I would like to attend a session that you mentioned.
6324,비가 내리던 여름이 지나 눈이 내리는 겨울이 왔어요.,A snowy winter came after the rainy summer.
6325,사회적 게임의 급성장에 대해 어떻게 생각하십니까?,What do you think about the dramatic advancement of social games?        
6326,그러나 카카오톡 메인에 있는 당신 사진은 누구나 볼 수 있어요.,But your main profile in Kakao Talk can be seen by anyone.
6327,상단의 버튼을 선택하셔서 대화방을 만들어보세요.,Try making a chatting room by clicking the button on top.
6328,그 사람은 재산을 잃어서 괴로워해요.,He's distressed at losing his property.
6329,"교수님, 시간 괜찮으시면 잠깐 질문을 드려도 될까요?","Professor, do you mind if I ask you a brief question?"
6330,거품 목욕 입욕제를 어디서 파나요?,Where can I buy a bubble bath gel?
6331,드라마를 믿으면 실망할 것이에요.,You will be disappointed if you trust drama.
6332,사이즈가 달라도 비슷한 제품도 없나요?,Are there any similar products with different sizes?
6333,퇴원 축하드려요! 병원에 오지 않도록 몸 관리 잘하세요.,Congratulations on your discharge! Take care of yourself so you don't come back to the hospital.
6334,인사 관련 전반적인 업무를 해요.,I work for the overall human resources.
6335,내일 모레 일을 하러 가야 해요.,I should go to work the day after tomorrow.
6336,그 봉사는 장애인과 함께 소풍을 가는 것이었어요.,The service was going to picnic with the disabled.
6337,"학생회에서 회장을 뽑는다고 하는데, 관심 있어?",I heard they're electing the student council president. Are you interested?
6338,먼저 잘못하신 분이 과실을 인정하지 못하는군요.,You are the one who made the mistake in the first place but you can't admit it.
6339,송금후 곧바로 라고스로 출발을 할예정이예요.,I am planning to take off to Lagos right after the transfer.
6340,그럼 이번 신제품 보관은 그 창고에 하는 것이 좋겠네요.,"Then, we should probably store the new products in that warehouse."
6341,오른쪽 팔꿈치까지 깊숙히 넣으세요.,Put your right arm into deep inside to the elbow.
6342,꽃과 팬시 용품을 판매하는 곳 인 것 같아.,This place seems to sell flowers and fancy products.
6343,휴대폰으로 전송된 숫자 좀 알려주세요.,Please let me know the number being sent to your cellphone.
6344,지하 1층 학생회실 옆에 샤워실이 있어요. ,There's a shower room next to the student council room on the ground floor.
6345,외출할 땐 전기를 꼭 꺼 주세요.,Turn off the switch when you leave.
6346,사실상 멕시코 전체를 장악한 범죄 조직이에요.,"In effect, they exert influence all over Mexico."
6347,언니가 선택한 소고기 요리 먹어.,Please eat a beef dish that you select.
6348,하나에 라이센스키로는 한컴퓨터만 설치가 가능한가?,Does the license key allow installation of only one computer?
6349,당신 기분을 해칠 생각은 없었어요.,I didn't mean to hurt your feelings.
6350,아니야 그렇지않아 재질에따라 다르지!,"Not really, it depends on the material!"
6351,제가 카카오톡에 귀여운 사진을 보냈어요.,I sent a cute picture on Kakao talk.
6352,육지에 내려 서서도 계속 배를 타고 있는 기분이었어요.,Even after landing I felt as if I were still on board.
6353,그녀는 그녀의 백인 세계에 살고 있어요.,She is living in her own white people's world.
6354,한 타는 벌점이고 러프에서 치세요.,Take a stroke penalty and play it from the rough.
6355,여기는 편의점에서는 약을 판매하고 있지 않아서 약국 알려드릴게요.,They don't sell medicine in convenience stores so I'll tell you how to get to a pharmacy. 
6356,만약에 통관하는데 문제가 생긴다면 우리에게 알려주세요.,Please let us know if there is a problem through customs.
6357,뽀로로가 처음으로 비행기 타고 해외여행을 가게 됐어요.,Pororo got to travel abroad on the plane for the first time.
6358,"감자칩도 맛있지만, 특제 소스도 기가 막힙니다.","The potato chips are delicious, but the special sauce is amazing too."
6359,네. 혹시 증상이 나아지지 않으면 한 번 더 말씀해 주세요.,Sure. Please let me know if you don't feel better.
6360,그 유명한 작가는 새로운 소설을 출판했어요.,The famous writer published a new novel.
6361,저희 호텔 외에는 숙박 할 곳이 없으신가요?,Do you have any other place to stay besides our hotel?
6362,우선 사진에 보이는 기계만 주문하겠어요.,We will just order the machine in the photo.
6363,한 타 벌점으로 먹고 러프에서 경기하세요.,Take a stroke penalty and play from the rough.
6364,이 길에서는 사람들 사이를 헤집고 가셔야 해요.,You have to push through the crowd on this street.
6365,발이 아예 땅에서 아예 따 떨어지면 더 좋겠는데.,I hope it would make his feet completely off the ground.
6366,드라마적인 장면이 많이 나오기 때문이예요.,Because there are many dramatic scenes.
6367,두개 또는 세개로 나눠서 송부 부탁드려요.,Please send it divided in two or three.
6368,소중한 친구인데 당연히 참석해야지요. 다시 한번 결혼 축하드립니다.,"Of course, you are a special friend. Congratulations once again. "
6369,네. 예약해 드릴게요. 결제는 계좌이체로 도와드리겠습니다.,Yes. We'll make a reservation for you. We will assist you with payment by bank transfer.
6370,죄송하지만 안경은 발견되지 않았습니다. 다시 연락드리겠습니다.,Is there a nearby hospital? My mom got hurt.
6371,"이번에 인턴십 서류에 합격했는데, 면접이 너무 걱정돼.","I passed the documentation phase of the internship, but I'm too worried about the interview."
6372,첫번째는 아프리카의 어린이들의 가난을 위해 행복을 주고 싶어.,"Firstly, I want to make poor children happy in Africa."
6373,죄송합니다. 지하철이 연기되어서 늦었습니다.,Sorry. I was late because the subway was delayed.
6374,협력회사 사원들에게 줄 선물입니다. 교육에 참석한 사람들에게 하나씩 나누어주세요.,They are gifts to give out to the employees of our partner company. Please give them to the people who took part in the training.
6375,"네, 근데 시험 기간에 동아리방 문은 잠가놓나요?","Sure, by the way, will the club room be locked during the exam period?"
6376,이걸 해야 할지 말아야 할지 선택할 수 없었어.,I could not select whether to do this or not.
6377,한국같은 경우는 야구가 인기 스포츠 종목이에요.,"In Korea, baseball is popular sport event."
6378,아니. 새로 하는 예능이니?,I haven't. Is it just started?
6379,이 얼룩은 드라이클리닝으로 충분히 제거 가능합니다.,This stain is removable through dry cleaning.
6380,그럼 이제 신제품 출시를 진행하겠습니다.,Now we will proceed the new product launch.
6381,총 5만 원이 넘었기 때문에 여권 보여주면 세금을 면제해드립니다.,"It's over 50,000won in total so if you show me your passport, you'll be exempted from the tax."
6382,오늘은 컴퓨터 시험 때문에 시간이 애매해요.,I don't have time because I have an exam on computer.
6383,만났을때 보여주셨던 프레젠테이션 파일을 받을 수 있을까요?,Can I get a presentation file that you showed when we met?
6384,검토 후 귀사의 의견과 귀사의 금액도 제공 바래요.,Please review and provide your company's opinion and price.
6385,방해되지 않는다면 통역을 사용하고 싶어요.,"If you don't mind, I'd like to use an interpreter."
6386,저희가 준비한 자료는 여기까지이예요.,The material that we prepared is finished now.
6387,감옥을 탈출한 범인이 누구입니까?,Who is the criminal that broke the prison?
6388,방을 바꾸기 위해서 체크아웃 하러 왔어요.,I'm here to check out to change the room.
6389,나는 치유 음식이 약보다 낫다고 생각해요.,I think the healing food is better than any medicine.
6390,나도 퇴근하고 가면 조금 늦을거야.,I will be a little bit late because I go there after work.
6391,저희가 예약한 숙소가 이 동네인데 정확히 어디인지 아세요?,The hotel we reserved is in this neighborhood but do you know exactly where it is?
6392,나도 공감해. 지난번에는 정신 차려보니 5 정거장을 지난 상태였어.,"I agree. Last time, when I woke up, I was already five stops away."
6393,제 아이에게는 바닐라 아이스크림으로 주세요.,"Vanilla ice cream for my child, please."
6394,아니. 유명한 배우이지 않아?,No. Isn't he popular?
6395,넌 나에게 처음이자 마지막 사람이야.,You are my first and last love for me.
6396,"이런, 호텔 안내 책자를 보니 객실 마사지는 오후 7시까지래.","Oh no, the hotel guide book says the in-room massage is only until 7 pm."
6397,저의 주제는 육조거리와 세종로이예요.,My theme is six Cao Street and Sejong Road.
6398,그때 약속을 못 지킬 것 같아요.,I'm afraid I can't make it at that time.
6399,저희 회사 면접은 이것으로 마치겠어요.,This is all of of our company's interview.
6400,맞는 물품을 보내셨다는 답변을 잘받았어요.,I received a response that you sent the correct item.
6401,가족 모두 패밀리 레스토랑에 가고 있어.,All of my family members are going to a family restaurant.
6402,뮤지션은 그들의 팬이 원하는 음악정보를 얻을수 있어.,Musician can get music informations which their fans want.
6403,마지막으로 하고싶은 말은 저는 우리나라를 사랑해요.,"Last but not least, I love my country, Korea."
6404,"미국입니다. 달러로 환전해야 한다던데, 달러로 바꿔주시겠어요?",The United States. I heard that dollars are required. Could you change to dollars?
6405,이번에 메리가 부장으로 승진한다고 들었어.,I heard Mary will get a promotion as a director this time.
6406,너무 다혈질이라 참을성이 부족한 것 같아.,"I am so hot tempered, so I lack patience."
6407,너희들의 손가락과 입을 찢어버리고 싶어.,I want to tear apart your fingers and mouth.
6408,회의 참석자가 생각보다 많네요. 옆 회의실에서 가져올까요?,There are more participants than I thought. Should I bring some from the conference room next door?
6409,요새 사람은 우주에 관심이 정말 많잖아.,These days lots of people are interested in space.
6410,근처에서 내리면 군부대까지는 얼마나 걸리나요?,How long will it take to the military base if I get off near it?
6411,네. 감사합니다. 제가 혹시 따로 챙겨야 할 게 있나요?,Yes. Thank you. Is there anything that I need to bring?
6412,당신네 나라에서는 얼마나 많은 국경일이 있나요?,How many national holidays are there in your country?
6413,"최소한 6개월 이상이 좋고, 1년이라면 더 좋을 것 같아요!","It should be at least 6 months, and 1 year would be better."
6414,저는 제 능력을 발휘할 수 있는 일을 하고 싶어요.,I want to get a job that makes use of my ability.
6415,만약 여자 친구가 되어 준다면 결코 헤어지지.,I'll never dump you if you be my girlfriend.
6416,전에 보낸 첨부파일을 무시해주세요.,Please ignore the previous attachment file I sent.
6417,히지만 당분이 함량되어있기 때문에 적당히 섭취해야해요.,"However, it contains sugar, it should be taken appropriately."
6418,"작년과 올해 성과를 고려하면, 가파르지 않다고 생각합니다.","Considering the last year and this year's performance, I don't think it's steep.        "
6419,그녀는 남편이 돈이 벌기를 원했어요.,She wanted her husband to make a money.
6420,그것까지는 자세하게 모르겠네요. 환전소에서 알 수 있을 거예요.,I don't know about that. You can find out at the currency exchange desk.
6421,아직은 가능하십니다만 저희 규정상 동의서가 필요합니다.,"It's still possible, but our according to our regulation the form of consent is required."
6422,외출 시 피부 당김을 방지하기 위해 어떤 방법을 애용하시나요?,What do you do to prevent stiff skin when going outside?
6423,너의 존재만으로도 신께 감사해야 해요.,You need to thank God even for your own existence.
6424,거기에 가는 다른 방법이 있어요?,Is there any other way to go there?
6425,컨테이너 안에서 작업을 해야 합니까?,Do you have to work in the container?
6426,나한테거짓말쳐서 너가 얻는게 뭐길래 사람바보 만들어?,What do you get if you lied to me and made me foolish?
6427,일단 지역 주민의 참석이 필수인 행사가 좋겠어요.,I think we should prioritize the participation of the residents.
6428,정말 안타깝다. 그런 황금기가 다시 오지 않을 것 같은데,That's unfortunate. I don't think such a golden age will ever come again.
6429,저녁에 주방을 치워 주렴. 쌓인 설거지가 너무 많아.,Please clean the kitchen in the evening. There are so many dishes piled up.
6430,너의 마음가짐과 태도를 성장하게 할 것이예요.,It will grow on your mind and attitude.
6431,이 기계의 조작법을 가르쳐 주세요.,Please show me how to handle this machine.
6432,그들은 나한테 결혼하겠다고 말했어.,They told me that they will going to get merried.
6433,판매부 담당인 스완슨 양을 만나고 싶은데요.,"I'd like to see Ms.Swanson, the sales manager, please."
6434,엄마는 학원에 가지 않아도 된다고 허락했었어.,Mom didn’t allow me to go to the academy.
6435,나는 성격이 좀 내성적이라 그룹 과제를 하는 게 너무 불편해.,"I am an introvert, so group projects make me feel uncomfortable."
6436,그러나 그시간은 의미없는 시간이 아니었어요.,"However, that time was not meaningless."
6437,"외국에 가서 무작정 버스킹이라니, 매우 신선한 소재의 콘텐츠네. ",Busking in a different country - that's very fresh content.
6438,내가 당신한테 준 필통을 잘 사용하고 있습니까?,Are you well using the pencilcase which I gave to you?
6439,"내가 풀었을 때는 답이 100J인데, 문제에서 답은 150J이래.",When I solved it I got 100J but the answer is 150J.
6440,그들은 나의 성품을 안좋게 평가했기 때문이예요.,Because they judged my personality as low.
6441,"여보세요, 존슨 & 존슨 회사인가요?","Hello, is this the Johnson and Johnson Corporation?"
6442,하지만 이길은 빠른길이지만 경사가 높아.,"This path is the short cut, but it has a high slope."
6443,다음 주에 타히티로 여행갈 거예요.,I'm going on a trip to Tahiti next week.
6444,나도 1학년 때는 떨었었는데 많이 연습하다 보니까 조금씩 나아지는 것 같아. ,"I used to get nervous in the 1st year, but practice makes it better."
6445,"몇마디로 말해도, 난 너여야만 해요.","Long story short, it has to be you."
6446,지금은 시간이 늦어서 어두울 거에요.,Now it's too late so it's getting dark.
6447,첨부된 최종 레포트를 참조하시기 바래요.,Please refer to the attached final report.
6448,언제나 좋은 작업을 하시는것 같아 보기 좋아요.,"It's nice to see your work, you always seem to do good works."
6449,운동을 새로 시작하려고 하는데 괜찮은 헬스장 있어?,"I want to start working out, so I was wondering if you know a good gym?"
6450,새벽인데 아직 잠 안 자고 있어요.,I'm not sleeping yet though it's dawn.
6451,그녀는 나에게 가수 포스터를 주었어요.,She gave me a poster of a singer.
6452,홈스테이할 예정입니다. 여기 홈스테이에 대한 정보가 적혀있는 서류를 드릴게요.,I plan to do a homestay. Here is a document with homestay information.
6453,첨부한 파일이 사실임을 증명해요.,I verify the attached files are true.
6454,맞다. 퇴사했다고 들었어. 와 진짜 소름 돋는다. 해외에서 만나니까 더 반갑다.,"Yeah, I've heard that. I can't believe this. I'm glad to see you overseas."
6455,환자분 성함이 어떻게 되시죠? 몇 시쯤 접수하셨나요?,What's your name? When did you put your name down?
6456,우리가 알고 지낸 지 벌써 3년인데 잊고 있었잖아.,We've known each other for 3 years but I forgot.
6457,올해에는 일찍 일어나기로 결심해요.,"This year, I decided to get up early."
6458,절단한 부위를 보면 아픈 감정이 들 수도 있지만 실제로는 아프지 않아요.,You may feel that there is a pain in the amputated part but it doesn't actually hurt.
6459,"반갑습니다, 결혼식에 와주셔서 진심으로 감사드립니다.","Nice to hear from you, thank you for coming to our wedding."
6460,당신이 한국에 오기 전까지 집안을 정리 정돈하겠어요.,I will make my house tidy until you come to Korea.
6461,오전 11시에 시간이 가능합니다. 만나서 점심 식사를 같이하실 수 있을까요?,I’ll be available at 11 a.m. Can I meet you and have lunch together?
6462,너를 찾기 위해 방송을 시도했지만 실패했어.,I tried broadcasting to find you but failed.
6463,정말요? 그럼 어떻게 해야 하죠? 어디서 열차를 갈아타야 하나요?,Really? What should I do? Where can I change trains?
6464,그분에게 나의 이메일을 알려주시면 안될까요?,Can't you let him know about my email address?
6465,그럼 어쩔 수 없지. 그렇다면 다른 식당 한번 새로 알아보자. ,We can't help then. Let's find another restaurant.
6466,내 방에 너와 있던 일이 모두 영화가 돼.,Every memories with you in my room becomes a movie.
6467,임산부들은 그것이 태아에게 해를 끼친다는것을 알지 못하고 먹어.,Pregnant women eat not knowing it is harmful to the fetus.
6468,그 카페는 바닐라 카페 라테가 굉장히 맛있어.,Vanilla cafe latte is very delicious.
6469,소고기는 우리의 뛰어난 스테미너원이예요.,Beef is an excellent source of stamina for us.
6470,회사 규정상 각자 1부씩 작성하셔야 합니다.,"Due to the company's regulation, you need to write one form each."
6471,내 디바이스에 문제가 있는 것 같아.,There are some problems in my device.
6472,항상 몸조심하고 감기 조심 하십시오.,Take care of yourself and be careful not to catch a cold.
6473,그래서 난 다음시험을 위해 더 열심히 공부할거야.,"So, I will study far harder for the next exam."
6474,상반기 프로젝트가 마감되었네요. 어떻게 생각하세요?,The first half project has now ended. What do you think?
6475,이마가 너무 납작해서 필러를 맞았었어.,I think my forehead is flat so I had a filler in it.
6476,빨라야 토요일에 보낼 수 있을 것 같아.,I might send it on Saturday at the soonest.
6477,7층이요? 가서 길을 못 찾으면 어떡하나요?,The 7th floor? What will I do if I get lost?
6478,"일부러 이렇게 전화 주다니, 감동이야. 축하해줘서 고마워. ",I appreciate you calling me to congratulate. Thank you so much.
6479,위의 내용들을 바탕으로 질문을 요약하자면 아래와 같아요.,In summary of the question based on the above content.
6480,"안녕하세요. 환전하고 싶은데, 좀 도와주시겠어요?","Hello, I would like to change some money. Would you help me?"
6481,한국에 들어와도 문제가 될 거 같아.,It's going to be a problem even if you come to Korea.
6482,자동부스터 1년치 선물좀 해주세요.,Please give me automatic boosters for one year.
6483,인력이 부족하다면 경력직을 추가로 모시는 건 어떨까요?,"If they lack workforce, how about scouting people with experience?"
6484,지금 다인실에 자리가 없어서 기다려야 합니다.,You need to wait as there are currently no vacancies in rooms with multiple occupants.
6485,어제 나는 피곤해서 일찍 일어나지 못했어요.,Yesterday I was tired that I couldn't wake up early.
6486,암기한 내 문장으로 자신있게 말해 보세요.,Memorize your expressions and say them with confidence.
6487,인천 강화도에 있는 전등사가 좋아요.,"JeonDeng temple in Incheon, Ganghwado, is good."
6488,오늘 일기 예보를 보면 비 온다고 했거든요.,"The weather forecast for today was rain, you know."
6489,혹시 이 호스텔에 수영장이랑 헬스장도 있나요?,Does this hostel have a swimming pool and gym by any chance?
